µs, rgb2Gray,reverse,gamma correction,direct resize(x2),direct resize(x0.5),linear resize(x2),linear resize(x0.5),gaussian filter,edge detection,k-means,gaussian pyramid
einstein,400.800000,250.500000,12683.300000,2105.200000,200.400000,17897.100000,1402.900000,126034.800000,164938.000000,1529068.000000,169952.000000
castle,1453.100000,1002.000000,40908.600000,6617.200000,450.900000,56599.900000,651.300000,396855.600000,518880.000000,2693667.000000,531414.000000
lena,1102.200000,751.500000,40858.200000,6667.300000,400.800000,56549.900000,701.400000,396955.800000,519883.000000,16340481.000000,531915.000000
boat,1954.700000,901.800000,40808.200000,6617.200000,300.600000,56600.400000,701.400000,396855.400000,524395.000000,1187158.000000,531413.000000
bike,1352.700000,1002.000000,47826.800000,7770.100000,501.000000,66376.200000,801.600000,465237.400000,608118.000000,2016866.000000,623659.000000
valve,3508.500000,1152.400000,47726.400000,7820.200000,501.000000,66275.900000,851.700000,464736.000000,608619.000000,11156186.000000,625664.000000
koala,3358.400000,2405.800000,121272.100000,20153.300000,1303.200000,170102.300000,2205.400000,1190868.400000,1560151.000000,16844321.000000,1596247.000000
nausicaa,8973.200000,6517.100000,322407.600000,53491.700000,3358.500000,449194.800000,5815.100000,3139754.600000,4110939.000000,142450058.000000,4215216.000000
oranges,63318.200000,47175.100000,2162453.700000,375899.700000,23662.300000,3142662.100000,40658.100000,21955923.400000,28695859.000000,996415942.000000,29441342.000000
mountains,78859.300000,58806.200000,2749566.000000,468345.700000,29628.300000,3915919.600000,50584.000000,27351982.600000,35827837.000000,1253983822.000000,36727230.000000
tiger,144884.800000,107986.900000,5154816.400000,858835.000000,53943.200000,7187776.700000,92796.600000,50207501.000000,64482590.000000,2287198684.000000,67496606.000000
