µs, rgb2Gray,reverse,gamma correction,direct resize(x2),direct resize(x0.5),linear resize(x2),linear resize(x0.5),gaussian filter,edge detection,k-means,gaussian pyramid
einstein,33990.100000,501.000000,1252.900000,2456.000000,701.600000,3809.800000,902.100000,4210.800000,8021.000000,102773.000000,13536.000000
castle,1102.900000,1403.500000,2857.000000,6567.100000,1102.300000,10577.800000,1353.400000,10928.800000,21056.000000,293781.000000,25568.000000
lena,902.200000,1252.900000,2706.700000,6617.300000,1152.600000,10627.900000,1152.500000,10928.800000,21056.000000,874326.000000,25066.000000
boat,1203.000000,1102.800000,2907.400000,6617.200000,1152.600000,10627.600000,1102.500000,11129.200000,21055.000000,150400.000000,25067.000000
bike,1002.300000,1303.200000,3107.800000,7670.200000,1152.600000,12282.200000,1202.700000,12633.200000,24064.000000,112299.000000,28075.000000
valve,1804.600000,1353.200000,3158.000000,7570.000000,1152.600000,12432.700000,1203.000000,12633.400000,24064.000000,613131.000000,28075.000000
koala,1754.500000,2455.900000,7018.100000,19300.600000,2055.100000,31132.200000,2205.400000,30380.200000,59157.000000,2053464.000000,58154.000000
nausicaa,3759.500000,6065.900000,17746.900000,49280.600000,4912.600000,80463.900000,4912.800000,78709.000000,152906.000000,5500135.000000,138869.000000
oranges,24264.400000,40356.900000,121974.300000,335191.300000,29127.200000,529859.600000,28375.000000,511661.400000,1072353.000000,36919742.000000,850262.000000
mountains,30180.200000,50133.000000,149798.100000,410542.200000,36045.400000,641556.700000,35143.100000,622957.400000,1325026.000000,43557412.000000,1042774.000000
tiger,54895.600000,91442.700000,269917.800000,726783.600000,62465.800000,1144043.800000,64019.700000,1105140.400000,2487117.000000,84716432.000000,1865965.000000
