MB/s, rgb2Gray,reverse,gamma correction,direct resize(x2),direct resize(x0.5),linear resize(x2),linear resize(x0.5),gaussian filter,edge detection,k-means,gaussian pyramid
einstein,622.904192,996.646707,19.684152,118.592058,1245.808383,13.949746,177.959940,1.980881,1.513660,0.163276,1.469003
castle,541.209827,784.862275,19.224124,118.846642,1744.138390,13.894583,1207.480424,1.981658,1.515634,0.291956,1.479886
lena,713.511159,1046.483034,19.247838,117.953594,1962.155689,13.906868,1121.231822,1.981158,1.512710,0.048128,1.478492
boat,402.328746,872.069195,19.271421,118.846642,2616.207585,13.894460,1121.231822,1.981659,1.499694,0.662449,1.479889
bike,681.304059,919.760479,19.269531,118.608512,1839.520958,13.884495,1149.700599,1.980924,1.515495,0.456947,1.477731
valve,262.676357,799.722319,19.310067,117.848648,1839.520958,13.905507,1082.071152,1.983061,1.514248,0.082609,1.472995
koala,702.505955,980.670047,19.454565,117.067478,1810.386740,13.869865,1069.781446,1.981156,1.512223,0.140065,1.478027
nausicaa,693.264387,954.534993,19.294831,116.294677,1852.255471,13.848780,1069.766642,1.981301,1.513231,0.043670,1.475796
oranges,687.095717,922.216678,20.118657,115.737427,1838.606729,13.843570,1070.036819,1.981500,1.516096,0.043662,1.477707
mountains,687.625277,922.107669,19.721530,115.781244,1830.197750,13.847488,1071.992092,1.982513,1.513506,0.043243,1.476443
tiger,686.978896,921.711800,19.308699,115.892808,1845.140815,13.847509,1072.591022,1.982429,1.543561,0.043517,1.474634
