MB/s, rgb2Gray,reverse,gamma correction,direct resize(x2),direct resize(x0.5),linear resize(x2),linear resize(x0.5),gaussian filter,edge detection,k-means,gaussian pyramid
einstein,7.345080,498.323353,199.265704,101.653094,355.843786,65.530999,276.754240,59.290396,31.125795,2.429237,18.444149
castle,713.058301,560.336302,275.264963,119.753316,713.446430,74.347407,581.078765,71.959593,37.349544,2.676933,30.758448
lena,871.682554,627.689361,290.550116,118.844846,682.311296,73.996933,682.370499,71.959593,37.349544,0.899472,31.374451
boat,653.725686,713.122960,270.493224,118.846642,682.311296,73.999021,713.317007,70.663839,37.351318,5.228936,31.373200
bike,919.485184,707.182320,296.544179,120.153321,799.583550,75.035417,766.275879,72.950638,38.297872,8.206663,32.826358
valve,510.694891,681.052320,291.830272,121.743725,799.583550,74.127100,766.084788,72.949483,38.297872,1.503105,32.826358
koala,1344.711314,960.664522,336.173038,122.239516,1148.020048,75.783144,1069.781446,77.659002,39.881941,1.148935,40.569797
nausicaa,1654.688123,1025.536194,350.528825,126.232229,1266.294834,77.311689,1266.243283,79.035434,40.683819,1.131027,44.796175
oranges,1792.983301,1078.022940,356.678940,129.793536,1493.643879,82.107909,1533.239260,85.028232,40.570282,1.178385,51.167363
mountains,1796.729246,1081.635809,361.991561,132.083006,1504.370821,84.521988,1542.995581,87.045515,40.924214,1.244924,52.001343
tiger,1813.128921,1088.471797,368.752265,136.949706,1593.396707,87.000865,1554.721437,90.063489,40.019348,1.174894,53.341193
