bike: 640x480
========
RGB 2 GRAY
CPU Run: 1503.000000탎
GPU Run: 1003.000000탎
CPU Run: 1503.000000탎
GPU Run: 1002.000000탎
CPU Run: 1503.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1503.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1503.000000탎
GPU Run: 1002.000000탎
CPU Run: 1503.000000탎
GPU Run: 1003.000000탎
CPU Run: 1002.000000탎
GPU Run: 1003.000000탎
CPU Run: 1503.000000탎
GPU Run: 1002.000000탎
========
REVERSE
CPU Run: 1002.000000탎
GPU Run: 1504.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1504.000000탎
CPU Run: 1002.000000탎
GPU Run: 1504.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1504.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1504.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1504.000000탎
========
GAMMA CORRECTION
CPU Run: 47626.000000탎
GPU Run: 3509.000000탎
CPU Run: 47626.000000탎
GPU Run: 3007.000000탎
CPU Run: 47626.000000탎
GPU Run: 3008.000000탎
CPU Run: 48128.000000탎
GPU Run: 3008.000000탎
CPU Run: 47626.000000탎
GPU Run: 3007.000000탎
CPU Run: 47626.000000탎
GPU Run: 3509.000000탎
CPU Run: 47626.000000탎
GPU Run: 3008.000000탎
CPU Run: 48128.000000탎
GPU Run: 3007.000000탎
CPU Run: 48128.000000탎
GPU Run: 3008.000000탎
CPU Run: 48128.000000탎
GPU Run: 3007.000000탎
========
DIRECT RESIZE (X2)
CPU Run: 8021.000000탎
GPU Run: 7520.000000탎
CPU Run: 8020.000000탎
GPU Run: 7520.000000탎
CPU Run: 7519.000000탎
GPU Run: 8021.000000탎
CPU Run: 7519.000000탎
GPU Run: 7520.000000탎
CPU Run: 8021.000000탎
GPU Run: 7519.000000탎
CPU Run: 7520.000000탎
GPU Run: 7520.000000탎
CPU Run: 8021.000000탎
GPU Run: 7520.000000탎
CPU Run: 8021.000000탎
GPU Run: 7520.000000탎
CPU Run: 7519.000000탎
GPU Run: 8021.000000탎
CPU Run: 7520.000000탎
GPU Run: 8021.000000탎
========
DIRECT RESIZE (X0.5)
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 501.000000탎
GPU Run: 1503.000000탎
CPU Run: 501.000000탎
GPU Run: 1003.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 501.000000탎
GPU Run: 1504.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 501.000000탎
GPU Run: 1504.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
========
LINEAR RESIZE (X2)
CPU Run: 66677.000000탎
GPU Run: 12031.000000탎
CPU Run: 66176.000000탎
GPU Run: 12032.000000탎
CPU Run: 66175.000000탎
GPU Run: 12533.000000탎
CPU Run: 66677.000000탎
GPU Run: 12533.000000탎
CPU Run: 66175.000000탎
GPU Run: 12533.000000탎
CPU Run: 66176.000000탎
GPU Run: 12533.000000탎
CPU Run: 66176.000000탎
GPU Run: 12032.000000탎
CPU Run: 66176.000000탎
GPU Run: 12031.000000탎
CPU Run: 66677.000000탎
GPU Run: 12031.000000탎
CPU Run: 66677.000000탎
GPU Run: 12533.000000탎
========
LINEAR RESIZE (X0.5)
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1504.000000탎
CPU Run: 501.000000탎
GPU Run: 1504.000000탎
CPU Run: 501.000000탎
GPU Run: 1503.000000탎
CPU Run: 501.000000탎
GPU Run: 1504.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
========
GAUSSIAN FILTER (SIZE 3, SIGMA 1.0)
CPU Run: 464736.000000탎
GPU Run: 13034.000000탎
CPU Run: 464736.000000탎
GPU Run: 12533.000000탎
CPU Run: 464736.000000탎
GPU Run: 12533.000000탎
CPU Run: 465739.000000탎
GPU Run: 12533.000000탎
CPU Run: 466240.000000탎
GPU Run: 12533.000000탎
========
EDGE DETECTION
CPU Run: 608118.000000탎
GPU Run: 24064.000000탎
========
K MEANS 8
CPU Run: 2016866.000000탎
GPU Run: 112299.000000탎
========
GAUSSIAN PYRAMID 8 0.5x
CPU Run: 623659.000000탎
GPU Run: 28075.000000탎
========
