boat: 512x512
========
RGB 2 GRAY
CPU Run: 2005.000000탎
GPU Run: 1504.000000탎
CPU Run: 2005.000000탎
GPU Run: 1002.000000탎
CPU Run: 2005.000000탎
GPU Run: 1504.000000탎
CPU Run: 2005.000000탎
GPU Run: 1504.000000탎
CPU Run: 2005.000000탎
GPU Run: 1504.000000탎
CPU Run: 2005.000000탎
GPU Run: 1003.000000탎
CPU Run: 2506.000000탎
GPU Run: 1002.000000탎
CPU Run: 2005.000000탎
GPU Run: 1002.000000탎
CPU Run: 2004.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1003.000000탎
========
REVERSE
CPU Run: 1002.000000탎
GPU Run: 1003.000000탎
CPU Run: 1002.000000탎
GPU Run: 1003.000000탎
CPU Run: 1002.000000탎
GPU Run: 1003.000000탎
CPU Run: 1002.000000탎
GPU Run: 1003.000000탎
CPU Run: 501.000000탎
GPU Run: 1503.000000탎
CPU Run: 501.000000탎
GPU Run: 1504.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1003.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
========
GAMMA CORRECTION
CPU Run: 41109.000000탎
GPU Run: 2506.000000탎
CPU Run: 41109.000000탎
GPU Run: 3008.000000탎
CPU Run: 40607.000000탎
GPU Run: 3008.000000탎
CPU Run: 40608.000000탎
GPU Run: 3007.000000탎
CPU Run: 40608.000000탎
GPU Run: 3007.000000탎
CPU Run: 40608.000000탎
GPU Run: 3008.000000탎
CPU Run: 40607.000000탎
GPU Run: 3008.000000탎
CPU Run: 41109.000000탎
GPU Run: 2506.000000탎
CPU Run: 41109.000000탎
GPU Run: 3008.000000탎
CPU Run: 40608.000000탎
GPU Run: 3008.000000탎
========
DIRECT RESIZE (X2)
CPU Run: 7018.000000탎
GPU Run: 6517.000000탎
CPU Run: 6517.000000탎
GPU Run: 6517.000000탎
CPU Run: 6517.000000탎
GPU Run: 6517.000000탎
CPU Run: 7018.000000탎
GPU Run: 6517.000000탎
CPU Run: 6517.000000탎
GPU Run: 6517.000000탎
CPU Run: 6517.000000탎
GPU Run: 7018.000000탎
CPU Run: 6517.000000탎
GPU Run: 6517.000000탎
CPU Run: 6517.000000탎
GPU Run: 7018.000000탎
CPU Run: 6517.000000탎
GPU Run: 6517.000000탎
CPU Run: 6517.000000탎
GPU Run: 6517.000000탎
========
DIRECT RESIZE (X0.5)
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 501.000000탎
GPU Run: 1003.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 0.000000탎
GPU Run: 1002.000000탎
CPU Run: 0.000000탎
GPU Run: 1504.000000탎
CPU Run: 0.000000탎
GPU Run: 1504.000000탎
CPU Run: 0.000000탎
GPU Run: 1503.000000탎
========
LINEAR RESIZE (X2)
CPU Run: 56651.000000탎
GPU Run: 10527.000000탎
CPU Run: 56651.000000탎
GPU Run: 10527.000000탎
CPU Run: 56650.000000탎
GPU Run: 10528.000000탎
CPU Run: 56650.000000탎
GPU Run: 10528.000000탎
CPU Run: 56650.000000탎
GPU Run: 11029.000000탎
CPU Run: 56650.000000탎
GPU Run: 10527.000000탎
CPU Run: 56651.000000탎
GPU Run: 11029.000000탎
CPU Run: 56149.000000탎
GPU Run: 10527.000000탎
CPU Run: 56651.000000탎
GPU Run: 10527.000000탎
CPU Run: 56651.000000탎
GPU Run: 10527.000000탎
========
LINEAR RESIZE (X0.5)
CPU Run: 1002.000000탎
GPU Run: 1003.000000탎
CPU Run: 501.000000탎
GPU Run: 1503.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
CPU Run: 501.000000탎
GPU Run: 1003.000000탎
CPU Run: 1002.000000탎
GPU Run: 1003.000000탎
CPU Run: 501.000000탎
GPU Run: 1503.000000탎
CPU Run: 501.000000탎
GPU Run: 1002.000000탎
========
GAUSSIAN FILTER (SIZE 3, SIGMA 1.0)
CPU Run: 397557.000000탎
GPU Run: 11029.000000탎
CPU Run: 396555.000000탎
GPU Run: 11530.000000탎
CPU Run: 396555.000000탎
GPU Run: 11029.000000탎
CPU Run: 396554.000000탎
GPU Run: 11029.000000탎
CPU Run: 397056.000000탎
GPU Run: 11029.000000탎
========
EDGE DETECTION
CPU Run: 524395.000000탎
GPU Run: 21055.000000탎
========
K MEANS 8
CPU Run: 1187158.000000탎
GPU Run: 150400.000000탎
========
GAUSSIAN PYRAMID 8 0.5x
CPU Run: 531413.000000탎
GPU Run: 25067.000000탎
========
