einstein: 292x285
========
RGB 2 GRAY
CPU Run: 1002.000000탎
GPU Run: 336394.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 0.000000탎
GPU Run: 0.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 0.000000탎
GPU Run: 0.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 0.000000탎
GPU Run: 501.000000탎
========
REVERSE
CPU Run: 0.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 0.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 0.000000탎
GPU Run: 501.000000탎
CPU Run: 0.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 0.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
========
GAMMA CORRECTION
CPU Run: 13034.000000탎
GPU Run: 1002.000000탎
CPU Run: 12533.000000탎
GPU Run: 1504.000000탎
CPU Run: 12533.000000탎
GPU Run: 1504.000000탎
CPU Run: 12533.000000탎
GPU Run: 1504.000000탎
CPU Run: 12533.000000탎
GPU Run: 1503.000000탎
CPU Run: 12533.000000탎
GPU Run: 1504.000000탎
CPU Run: 13034.000000탎
GPU Run: 1002.000000탎
CPU Run: 13034.000000탎
GPU Run: 1002.000000탎
CPU Run: 12533.000000탎
GPU Run: 1002.000000탎
CPU Run: 12533.000000탎
GPU Run: 1002.000000탎
========
DIRECT RESIZE (X2)
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
CPU Run: 2005.000000탎
GPU Run: 2507.000000탎
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
CPU Run: 2506.000000탎
GPU Run: 2005.000000탎
CPU Run: 2506.000000탎
GPU Run: 2506.000000탎
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
========
DIRECT RESIZE (X0.5)
CPU Run: 0.000000탎
GPU Run: 1003.000000탎
CPU Run: 0.000000탎
GPU Run: 1002.000000탎
CPU Run: 0.000000탎
GPU Run: 1003.000000탎
CPU Run: 0.000000탎
GPU Run: 1002.000000탎
CPU Run: 0.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 501.000000탎
GPU Run: 501.000000탎
CPU Run: 0.000000탎
GPU Run: 501.000000탎
========
LINEAR RESIZE (X2)
CPU Run: 18047.000000탎
GPU Run: 4010.000000탎
CPU Run: 18047.000000탎
GPU Run: 3509.000000탎
CPU Run: 18048.000000탎
GPU Run: 4011.000000탎
CPU Run: 17546.000000탎
GPU Run: 4010.000000탎
CPU Run: 18048.000000탎
GPU Run: 3509.000000탎
CPU Run: 18048.000000탎
GPU Run: 4011.000000탎
CPU Run: 18047.000000탎
GPU Run: 3509.000000탎
CPU Run: 18048.000000탎
GPU Run: 4010.000000탎
CPU Run: 17546.000000탎
GPU Run: 4010.000000탎
CPU Run: 17546.000000탎
GPU Run: 3509.000000탎
========
LINEAR RESIZE (X0.5)
CPU Run: 1504.000000탎
GPU Run: 1002.000000탎
CPU Run: 1503.000000탎
GPU Run: 1002.000000탎
CPU Run: 1002.000000탎
GPU Run: 1002.000000탎
CPU Run: 1503.000000탎
GPU Run: 1002.000000탎
CPU Run: 1503.000000탎
GPU Run: 501.000000탎
CPU Run: 1503.000000탎
GPU Run: 1002.000000탎
CPU Run: 1503.000000탎
GPU Run: 501.000000탎
CPU Run: 1503.000000탎
GPU Run: 1003.000000탎
CPU Run: 1503.000000탎
GPU Run: 1003.000000탎
CPU Run: 1002.000000탎
GPU Run: 1003.000000탎
========
GAUSSIAN FILTER (SIZE 3, SIGMA 1.0)
CPU Run: 125834.000000탎
GPU Run: 4010.000000탎
CPU Run: 126336.000000탎
GPU Run: 4512.000000탎
CPU Run: 125834.000000탎
GPU Run: 4512.000000탎
CPU Run: 125834.000000탎
GPU Run: 4010.000000탎
CPU Run: 126336.000000탎
GPU Run: 4010.000000탎
========
EDGE DETECTION
CPU Run: 164938.000000탎
GPU Run: 8021.000000탎
========
K MEANS 8
CPU Run: 1529068.000000탎
GPU Run: 102773.000000탎
========
GAUSSIAN PYRAMID 8 0.5x
CPU Run: 169952.000000탎
GPU Run: 13536.000000탎
========
