koala: 1024x768
========
RGB 2 GRAY
CPU Run: 3509.000000탎
GPU Run: 2005.000000탎
CPU Run: 3509.000000탎
GPU Run: 2005.000000탎
CPU Run: 3509.000000탎
GPU Run: 1504.000000탎
CPU Run: 3509.000000탎
GPU Run: 1504.000000탎
CPU Run: 3509.000000탎
GPU Run: 1504.000000탎
CPU Run: 3006.000000탎
GPU Run: 2005.000000탎
CPU Run: 3007.000000탎
GPU Run: 2005.000000탎
CPU Run: 3008.000000탎
GPU Run: 2005.000000탎
CPU Run: 3509.000000탎
GPU Run: 1504.000000탎
CPU Run: 3509.000000탎
GPU Run: 1504.000000탎
========
REVERSE
CPU Run: 2506.000000탎
GPU Run: 2506.000000탎
CPU Run: 2506.000000탎
GPU Run: 2506.000000탎
CPU Run: 2506.000000탎
GPU Run: 2506.000000탎
CPU Run: 2506.000000탎
GPU Run: 2506.000000탎
CPU Run: 2506.000000탎
GPU Run: 2506.000000탎
CPU Run: 2506.000000탎
GPU Run: 2506.000000탎
CPU Run: 2506.000000탎
GPU Run: 2506.000000탎
CPU Run: 2506.000000탎
GPU Run: 2506.000000탎
CPU Run: 2005.000000탎
GPU Run: 2005.000000탎
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
========
GAMMA CORRECTION
CPU Run: 121323.000000탎
GPU Run: 7018.000000탎
CPU Run: 121323.000000탎
GPU Run: 7018.000000탎
CPU Run: 121322.000000탎
GPU Run: 7018.000000탎
CPU Run: 121322.000000탎
GPU Run: 7018.000000탎
CPU Run: 121322.000000탎
GPU Run: 7018.000000탎
CPU Run: 120821.000000탎
GPU Run: 7018.000000탎
CPU Run: 121322.000000탎
GPU Run: 7018.000000탎
CPU Run: 121322.000000탎
GPU Run: 7019.000000탎
CPU Run: 121322.000000탎
GPU Run: 7018.000000탎
CPU Run: 121322.000000탎
GPU Run: 7018.000000탎
========
DIRECT RESIZE (X2)
CPU Run: 20053.000000탎
GPU Run: 19050.000000탎
CPU Run: 21056.000000탎
GPU Run: 19551.000000탎
CPU Run: 20053.000000탎
GPU Run: 19551.000000탎
CPU Run: 20053.000000탎
GPU Run: 19551.000000탎
CPU Run: 20053.000000탎
GPU Run: 19050.000000탎
CPU Run: 20053.000000탎
GPU Run: 19552.000000탎
CPU Run: 20053.000000탎
GPU Run: 19049.000000탎
CPU Run: 20053.000000탎
GPU Run: 19050.000000탎
CPU Run: 20053.000000탎
GPU Run: 19552.000000탎
CPU Run: 20053.000000탎
GPU Run: 19050.000000탎
========
DIRECT RESIZE (X0.5)
CPU Run: 1002.000000탎
GPU Run: 2506.000000탎
CPU Run: 1002.000000탎
GPU Run: 2005.000000탎
CPU Run: 1504.000000탎
GPU Run: 2005.000000탎
CPU Run: 1504.000000탎
GPU Run: 2005.000000탎
CPU Run: 1002.000000탎
GPU Run: 2005.000000탎
CPU Run: 1504.000000탎
GPU Run: 2005.000000탎
CPU Run: 1504.000000탎
GPU Run: 2005.000000탎
CPU Run: 1002.000000탎
GPU Run: 2005.000000탎
CPU Run: 1504.000000탎
GPU Run: 2005.000000탎
CPU Run: 1504.000000탎
GPU Run: 2005.000000탎
========
LINEAR RESIZE (X2)
CPU Run: 169952.000000탎
GPU Run: 31082.000000탎
CPU Run: 169952.000000탎
GPU Run: 31082.000000탎
CPU Run: 169952.000000탎
GPU Run: 31082.000000탎
CPU Run: 169952.000000탎
GPU Run: 31082.000000탎
CPU Run: 169952.000000탎
GPU Run: 31082.000000탎
CPU Run: 169952.000000탎
GPU Run: 31082.000000탎
CPU Run: 169952.000000탎
GPU Run: 31584.000000탎
CPU Run: 171455.000000탎
GPU Run: 31082.000000탎
CPU Run: 169952.000000탎
GPU Run: 31082.000000탎
CPU Run: 169952.000000탎
GPU Run: 31082.000000탎
========
LINEAR RESIZE (X0.5)
CPU Run: 2506.000000탎
GPU Run: 2005.000000탎
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
CPU Run: 2005.000000탎
GPU Run: 2005.000000탎
CPU Run: 2506.000000탎
GPU Run: 2005.000000탎
CPU Run: 2506.000000탎
GPU Run: 2005.000000탎
CPU Run: 2005.000000탎
GPU Run: 2506.000000탎
CPU Run: 2005.000000탎
GPU Run: 2005.000000탎
CPU Run: 2506.000000탎
GPU Run: 2005.000000탎
========
GAUSSIAN FILTER (SIZE 3, SIGMA 1.0)
CPU Run: 1190167.000000탎
GPU Run: 30079.000000탎
CPU Run: 1191671.000000탎
GPU Run: 30581.000000탎
CPU Run: 1191169.000000탎
GPU Run: 30581.000000탎
CPU Run: 1191169.000000탎
GPU Run: 30079.000000탎
CPU Run: 1190166.000000탎
GPU Run: 30581.000000탎
========
EDGE DETECTION
CPU Run: 1560151.000000탎
GPU Run: 59157.000000탎
========
K MEANS 8
CPU Run: 16844321.000000탎
GPU Run: 2053464.000000탎
========
GAUSSIAN PYRAMID 8 0.5x
CPU Run: 1596247.000000탎
GPU Run: 58154.000000탎
========
