mountains: 5212x3468
========
RGB 2 GRAY
CPU Run: 78709.000000탎
GPU Run: 30080.000000탎
CPU Run: 78709.000000탎
GPU Run: 30080.000000탎
CPU Run: 79210.000000탎
GPU Run: 30080.000000탎
CPU Run: 79210.000000탎
GPU Run: 30080.000000탎
CPU Run: 78709.000000탎
GPU Run: 30080.000000탎
CPU Run: 78709.000000탎
GPU Run: 30080.000000탎
CPU Run: 78709.000000탎
GPU Run: 30080.000000탎
CPU Run: 79210.000000탎
GPU Run: 31082.000000탎
CPU Run: 78709.000000탎
GPU Run: 30080.000000탎
CPU Run: 78709.000000탎
GPU Run: 30080.000000탎
========
REVERSE
CPU Run: 58655.000000탎
GPU Run: 50133.000000탎
CPU Run: 58656.000000탎
GPU Run: 50133.000000탎
CPU Run: 58656.000000탎
GPU Run: 50133.000000탎
CPU Run: 58656.000000탎
GPU Run: 50133.000000탎
CPU Run: 58656.000000탎
GPU Run: 50133.000000탎
CPU Run: 59157.000000탎
GPU Run: 50133.000000탎
CPU Run: 58656.000000탎
GPU Run: 50133.000000탎
CPU Run: 59157.000000탎
GPU Run: 50634.000000탎
CPU Run: 59157.000000탎
GPU Run: 50133.000000탎
CPU Run: 58656.000000탎
GPU Run: 49632.000000탎
========
GAMMA CORRECTION
CPU Run: 2747811.000000탎
GPU Run: 149397.000000탎
CPU Run: 2746809.000000탎
GPU Run: 149397.000000탎
CPU Run: 2748313.000000탎
GPU Run: 149397.000000탎
CPU Run: 2747811.000000탎
GPU Run: 149898.000000탎
CPU Run: 2748814.000000탎
GPU Run: 148896.000000탎
CPU Run: 2761347.000000탎
GPU Run: 149899.000000탎
CPU Run: 2748814.000000탎
GPU Run: 152405.000000탎
CPU Run: 2746809.000000탎
GPU Run: 149397.000000탎
CPU Run: 2751822.000000탎
GPU Run: 149898.000000탎
CPU Run: 2747310.000000탎
GPU Run: 149397.000000탎
========
DIRECT RESIZE (X2)
CPU Run: 467243.000000탎
GPU Run: 406080.000000탎
CPU Run: 467744.000000탎
GPU Run: 413099.000000탎
CPU Run: 470251.000000탎
GPU Run: 414102.000000탎
CPU Run: 467744.000000탎
GPU Run: 410592.000000탎
CPU Run: 467744.000000탎
GPU Run: 405579.000000탎
CPU Run: 467744.000000탎
GPU Run: 422123.000000탎
CPU Run: 468246.000000탎
GPU Run: 412598.000000탎
CPU Run: 467744.000000탎
GPU Run: 409088.000000탎
CPU Run: 468245.000000탎
GPU Run: 396054.000000탎
CPU Run: 470752.000000탎
GPU Run: 416107.000000탎
========
DIRECT RESIZE (X0.5)
CPU Run: 30080.000000탎
GPU Run: 36096.000000탎
CPU Run: 29578.000000탎
GPU Run: 35093.000000탎
CPU Run: 29077.000000탎
GPU Run: 35595.000000탎
CPU Run: 29578.000000탎
GPU Run: 37098.000000탎
CPU Run: 31082.000000탎
GPU Run: 38602.000000탎
CPU Run: 29077.000000탎
GPU Run: 35594.000000탎
CPU Run: 29578.000000탎
GPU Run: 35594.000000탎
CPU Run: 29578.000000탎
GPU Run: 35594.000000탎
CPU Run: 29077.000000탎
GPU Run: 35594.000000탎
CPU Run: 29578.000000탎
GPU Run: 35594.000000탎
========
LINEAR RESIZE (X2)
CPU Run: 3916922.000000탎
GPU Run: 637696.000000탎
CPU Run: 3915920.000000탎
GPU Run: 647222.000000탎
CPU Run: 3915418.000000탎
GPU Run: 639201.000000탎
CPU Run: 3915418.000000탎
GPU Run: 631680.000000탎
CPU Run: 3915418.000000탎
GPU Run: 651734.000000탎
CPU Run: 3917424.000000탎
GPU Run: 643211.000000탎
CPU Run: 3915418.000000탎
GPU Run: 634187.000000탎
CPU Run: 3915920.000000탎
GPU Run: 646721.000000탎
CPU Run: 3915920.000000탎
GPU Run: 646219.000000탎
CPU Run: 3915418.000000탎
GPU Run: 637696.000000탎
========
LINEAR RESIZE (X0.5)
CPU Run: 50635.000000탎
GPU Run: 35093.000000탎
CPU Run: 50133.000000탎
GPU Run: 35093.000000탎
CPU Run: 50634.000000탎
GPU Run: 35093.000000탎
CPU Run: 50634.000000탎
GPU Run: 35093.000000탎
CPU Run: 50634.000000탎
GPU Run: 35093.000000탎
CPU Run: 50634.000000탎
GPU Run: 35093.000000탎
CPU Run: 50634.000000탎
GPU Run: 35093.000000탎
CPU Run: 50634.000000탎
GPU Run: 35093.000000탎
CPU Run: 50634.000000탎
GPU Run: 35093.000000탎
CPU Run: 50634.000000탎
GPU Run: 35594.000000탎
========
GAUSSIAN FILTER (SIZE 3, SIGMA 1.0)
CPU Run: 27360305.000000탎
GPU Run: 628673.000000탎
CPU Run: 27350278.000000탎
GPU Run: 613632.000000탎
CPU Run: 27342758.000000탎
GPU Run: 629676.000000탎
CPU Run: 27338747.000000탎
GPU Run: 615638.000000탎
CPU Run: 27367825.000000탎
GPU Run: 627168.000000탎
========
EDGE DETECTION
CPU Run: 35827837.000000탎
GPU Run: 1325026.000000탎
========
K MEANS 8
CPU Run: 1253983822.000000탎
GPU Run: 43557412.000000탎
========
GAUSSIAN PYRAMID 8 0.5x
CPU Run: 36727230.000000탎
GPU Run: 1042774.000000탎
========
