nausicaa: 1920x1080
========
RGB 2 GRAY
CPU Run: 9023.000000탎
GPU Run: 3509.000000탎
CPU Run: 9024.000000탎
GPU Run: 4010.000000탎
CPU Run: 9023.000000탎
GPU Run: 3509.000000탎
CPU Run: 9023.000000탎
GPU Run: 4010.000000탎
CPU Run: 9024.000000탎
GPU Run: 4010.000000탎
CPU Run: 9024.000000탎
GPU Run: 3509.000000탎
CPU Run: 9023.000000탎
GPU Run: 3509.000000탎
CPU Run: 8522.000000탎
GPU Run: 4010.000000탎
CPU Run: 9023.000000탎
GPU Run: 3509.000000탎
CPU Run: 9023.000000탎
GPU Run: 4010.000000탎
========
REVERSE
CPU Run: 6517.000000탎
GPU Run: 6016.000000탎
CPU Run: 6517.000000탎
GPU Run: 6517.000000탎
CPU Run: 6517.000000탎
GPU Run: 6016.000000탎
CPU Run: 6517.000000탎
GPU Run: 6016.000000탎
CPU Run: 6517.000000탎
GPU Run: 6016.000000탎
CPU Run: 6517.000000탎
GPU Run: 6016.000000탎
CPU Run: 6518.000000탎
GPU Run: 6015.000000탎
CPU Run: 6517.000000탎
GPU Run: 6016.000000탎
CPU Run: 6517.000000탎
GPU Run: 6016.000000탎
CPU Run: 6517.000000탎
GPU Run: 6015.000000탎
========
GAMMA CORRECTION
CPU Run: 321355.000000탎
GPU Run: 17045.000000탎
CPU Run: 328373.000000탎
GPU Run: 18048.000000탎
CPU Run: 321856.000000탎
GPU Run: 18048.000000탎
CPU Run: 321856.000000탎
GPU Run: 18549.000000탎
CPU Run: 321856.000000탎
GPU Run: 18048.000000탎
CPU Run: 321356.000000탎
GPU Run: 17546.000000탎
CPU Run: 321856.000000탎
GPU Run: 17546.000000탎
CPU Run: 321856.000000탎
GPU Run: 17547.000000탎
CPU Run: 321856.000000탎
GPU Run: 17546.000000탎
CPU Run: 321856.000000탎
GPU Run: 17546.000000탎
========
DIRECT RESIZE (X2)
CPU Run: 53642.000000탎
GPU Run: 49130.000000탎
CPU Run: 53642.000000탎
GPU Run: 49632.000000탎
CPU Run: 53141.000000탎
GPU Run: 49632.000000탎
CPU Run: 53642.000000탎
GPU Run: 49130.000000탎
CPU Run: 53642.000000탎
GPU Run: 49130.000000탎
CPU Run: 53141.000000탎
GPU Run: 49632.000000탎
CPU Run: 53642.000000탎
GPU Run: 49130.000000탎
CPU Run: 53642.000000탎
GPU Run: 49130.000000탎
CPU Run: 53141.000000탎
GPU Run: 49130.000000탎
CPU Run: 53642.000000탎
GPU Run: 49130.000000탎
========
DIRECT RESIZE (X0.5)
CPU Run: 3509.000000탎
GPU Run: 5013.000000탎
CPU Run: 3509.000000탎
GPU Run: 4511.000000탎
CPU Run: 3509.000000탎
GPU Run: 5013.000000탎
CPU Run: 3008.000000탎
GPU Run: 5013.000000탎
CPU Run: 3509.000000탎
GPU Run: 5013.000000탎
CPU Run: 3509.000000탎
GPU Run: 4511.000000탎
CPU Run: 3509.000000탎
GPU Run: 5013.000000탎
CPU Run: 3007.000000탎
GPU Run: 5013.000000탎
CPU Run: 3509.000000탎
GPU Run: 5013.000000탎
CPU Run: 3007.000000탎
GPU Run: 5013.000000탎
========
LINEAR RESIZE (X2)
CPU Run: 448693.000000탎
GPU Run: 80715.000000탎
CPU Run: 449696.000000탎
GPU Run: 80213.000000탎
CPU Run: 449195.000000탎
GPU Run: 80213.000000탎
CPU Run: 449195.000000탎
GPU Run: 80715.000000탎
CPU Run: 450197.000000탎
GPU Run: 80715.000000탎
CPU Run: 449195.000000탎
GPU Run: 80213.000000탎
CPU Run: 449195.000000탎
GPU Run: 80714.000000탎
CPU Run: 448694.000000탎
GPU Run: 80213.000000탎
CPU Run: 448693.000000탎
GPU Run: 80715.000000탎
CPU Run: 449195.000000탎
GPU Run: 80213.000000탎
========
LINEAR RESIZE (X0.5)
CPU Run: 6016.000000탎
GPU Run: 5013.000000탎
CPU Run: 6016.000000탎
GPU Run: 4511.000000탎
CPU Run: 6016.000000탎
GPU Run: 5013.000000탎
CPU Run: 6016.000000탎
GPU Run: 4512.000000탎
CPU Run: 5514.000000탎
GPU Run: 5013.000000탎
CPU Run: 5514.000000탎
GPU Run: 5013.000000탎
CPU Run: 6016.000000탎
GPU Run: 5013.000000탎
CPU Run: 5514.000000탎
GPU Run: 5013.000000탎
CPU Run: 5514.000000탎
GPU Run: 5014.000000탎
CPU Run: 6015.000000탎
GPU Run: 5013.000000탎
========
GAUSSIAN FILTER (SIZE 3, SIGMA 1.0)
CPU Run: 3139855.000000탎
GPU Run: 78709.000000탎
CPU Run: 3136345.000000탎
GPU Run: 78709.000000탎
CPU Run: 3140858.000000탎
GPU Run: 78709.000000탎
CPU Run: 3141359.000000탎
GPU Run: 78709.000000탎
CPU Run: 3140356.000000탎
GPU Run: 78709.000000탎
========
EDGE DETECTION
CPU Run: 4110939.000000탎
GPU Run: 152906.000000탎
========
K MEANS 8
CPU Run: 142450058.000000탎
GPU Run: 5500135.000000탎
========
GAUSSIAN PYRAMID 8 0.5x
CPU Run: 4215216.000000탎
GPU Run: 138869.000000탎
========
