oranges: 4672x3104
========
RGB 2 GRAY
CPU Run: 63669.000000탎
GPU Run: 24064.000000탎
CPU Run: 63168.000000탎
GPU Run: 24064.000000탎
CPU Run: 63669.000000탎
GPU Run: 24064.000000탎
CPU Run: 63168.000000탎
GPU Run: 24565.000000탎
CPU Run: 63168.000000탎
GPU Run: 24064.000000탎
CPU Run: 63168.000000탎
GPU Run: 24064.000000탎
CPU Run: 63168.000000탎
GPU Run: 24565.000000탎
CPU Run: 63167.000000탎
GPU Run: 24565.000000탎
CPU Run: 63168.000000탎
GPU Run: 24064.000000탎
CPU Run: 63669.000000탎
GPU Run: 24565.000000탎
========
REVERSE
CPU Run: 47125.000000탎
GPU Run: 40608.000000탎
CPU Run: 47125.000000탎
GPU Run: 40608.000000탎
CPU Run: 47125.000000탎
GPU Run: 40106.000000탎
CPU Run: 47125.000000탎
GPU Run: 40106.000000탎
CPU Run: 47125.000000탎
GPU Run: 40106.000000탎
CPU Run: 47626.000000탎
GPU Run: 40106.000000탎
CPU Run: 47125.000000탎
GPU Run: 40608.000000탎
CPU Run: 47125.000000탎
GPU Run: 40607.000000탎
CPU Run: 47125.000000탎
GPU Run: 40106.000000탎
CPU Run: 47125.000000탎
GPU Run: 40608.000000탎
========
GAMMA CORRECTION
CPU Run: 2161252.000000탎
GPU Run: 121824.000000탎
CPU Run: 2161251.000000탎
GPU Run: 122325.000000탎
CPU Run: 2168770.000000탎
GPU Run: 122325.000000탎
CPU Run: 2160749.000000탎
GPU Run: 122325.000000탎
CPU Run: 2159747.000000탎
GPU Run: 121824.000000탎
CPU Run: 2161250.000000탎
GPU Run: 121824.000000탎
CPU Run: 2168770.000000탎
GPU Run: 121323.000000탎
CPU Run: 2160749.000000탎
GPU Run: 122325.000000탎
CPU Run: 2161250.000000탎
GPU Run: 121824.000000탎
CPU Run: 2160749.000000탎
GPU Run: 121824.000000탎
========
DIRECT RESIZE (X2)
CPU Run: 374997.000000탎
GPU Run: 341408.000000탎
CPU Run: 376000.000000탎
GPU Run: 336394.000000탎
CPU Run: 376000.000000탎
GPU Run: 332384.000000탎
CPU Run: 376501.000000탎
GPU Run: 328373.000000탎
CPU Run: 376000.000000탎
GPU Run: 340405.000000탎
CPU Run: 376000.000000탎
GPU Run: 335392.000000탎
CPU Run: 376000.000000탎
GPU Run: 331382.000000탎
CPU Run: 376000.000000탎
GPU Run: 328373.000000탎
CPU Run: 376000.000000탎
GPU Run: 341909.000000탎
CPU Run: 375499.000000탎
GPU Run: 335893.000000탎
========
DIRECT RESIZE (X0.5)
CPU Run: 24064.000000탎
GPU Run: 29077.000000탎
CPU Run: 23562.000000탎
GPU Run: 29578.000000탎
CPU Run: 23562.000000탎
GPU Run: 29077.000000탎
CPU Run: 23562.000000탎
GPU Run: 29578.000000탎
CPU Run: 23562.000000탎
GPU Run: 29077.000000탎
CPU Run: 23562.000000탎
GPU Run: 29077.000000탎
CPU Run: 24063.000000탎
GPU Run: 28577.000000탎
CPU Run: 23562.000000탎
GPU Run: 29077.000000탎
CPU Run: 23562.000000탎
GPU Run: 29077.000000탎
CPU Run: 23562.000000탎
GPU Run: 29077.000000탎
========
LINEAR RESIZE (X2)
CPU Run: 3140857.000000탎
GPU Run: 527403.000000탎
CPU Run: 3141359.000000탎
GPU Run: 527904.000000탎
CPU Run: 3146372.000000탎
GPU Run: 528406.000000탎
CPU Run: 3141860.000000탎
GPU Run: 528907.000000탎
CPU Run: 3141359.000000탎
GPU Run: 529408.000000탎
CPU Run: 3141860.000000탎
GPU Run: 529910.000000탎
CPU Run: 3147876.000000탎
GPU Run: 539936.000000탎
CPU Run: 3142361.000000탎
GPU Run: 528406.000000탎
CPU Run: 3141860.000000탎
GPU Run: 528907.000000탎
CPU Run: 3140857.000000탎
GPU Run: 529409.000000탎
========
LINEAR RESIZE (X0.5)
CPU Run: 41109.000000탎
GPU Run: 28576.000000탎
CPU Run: 40608.000000탎
GPU Run: 28074.000000탎
CPU Run: 40608.000000탎
GPU Run: 28576.000000탎
CPU Run: 40608.000000탎
GPU Run: 28074.000000탎
CPU Run: 40608.000000탎
GPU Run: 28576.000000탎
CPU Run: 40608.000000탎
GPU Run: 28074.000000탎
CPU Run: 40608.000000탎
GPU Run: 28575.000000탎
CPU Run: 40608.000000탎
GPU Run: 28576.000000탎
CPU Run: 40608.000000탎
GPU Run: 28575.000000탎
CPU Run: 40608.000000탎
GPU Run: 28074.000000탎
========
GAUSSIAN FILTER (SIZE 3, SIGMA 1.0)
CPU Run: 21946899.000000탎
GPU Run: 499830.000000탎
CPU Run: 21929353.000000탎
GPU Run: 517878.000000탎
CPU Run: 21953417.000000탎
GPU Run: 502337.000000탎
CPU Run: 21954419.000000탎
GPU Run: 516875.000000탎
CPU Run: 21995529.000000탎
GPU Run: 521387.000000탎
========
EDGE DETECTION
CPU Run: 28695859.000000탎
GPU Run: 1072353.000000탎
========
K MEANS 8
CPU Run: 996415942.000000탎
GPU Run: 36919742.000000탎
========
GAUSSIAN PYRAMID 8 0.5x
CPU Run: 29441342.000000탎
GPU Run: 850262.000000탎
========
