tiger: 7680x4320
========
RGB 2 GRAY
CPU Run: 144885.000000탎
GPU Run: 54645.000000탎
CPU Run: 146389.000000탎
GPU Run: 55146.000000탎
CPU Run: 144384.000000탎
GPU Run: 54645.000000탎
CPU Run: 144885.000000탎
GPU Run: 55146.000000탎
CPU Run: 145386.000000탎
GPU Run: 54645.000000탎
CPU Run: 144384.000000탎
GPU Run: 54646.000000탎
CPU Run: 144884.000000탎
GPU Run: 55146.000000탎
CPU Run: 144383.000000탎
GPU Run: 54645.000000탎
CPU Run: 144885.000000탎
GPU Run: 55146.000000탎
CPU Run: 144383.000000탎
GPU Run: 55146.000000탎
========
REVERSE
CPU Run: 107786.000000탎
GPU Run: 91242.000000탎
CPU Run: 107786.000000탎
GPU Run: 92245.000000탎
CPU Run: 108288.000000탎
GPU Run: 91242.000000탎
CPU Run: 108288.000000탎
GPU Run: 91242.000000탎
CPU Run: 107786.000000탎
GPU Run: 91242.000000탎
CPU Run: 107787.000000탎
GPU Run: 91242.000000탎
CPU Run: 108288.000000탎
GPU Run: 91744.000000탎
CPU Run: 108288.000000탎
GPU Run: 91242.000000탎
CPU Run: 107786.000000탎
GPU Run: 91243.000000탎
CPU Run: 107786.000000탎
GPU Run: 91743.000000탎
========
GAMMA CORRECTION
CPU Run: 5154716.000000탎
GPU Run: 272224.000000탎
CPU Run: 5158727.000000탎
GPU Run: 266208.000000탎
CPU Run: 5152210.000000탎
GPU Run: 272725.000000탎
CPU Run: 5154716.000000탎
GPU Run: 267211.000000탎
CPU Run: 5159729.000000탎
GPU Run: 272224.000000탎
CPU Run: 5154215.000000탎
GPU Run: 267211.000000탎
CPU Run: 5155719.000000탎
GPU Run: 272224.000000탎
CPU Run: 5153212.000000탎
GPU Run: 268213.000000탎
CPU Run: 5155217.000000탎
GPU Run: 272224.000000탎
CPU Run: 5149703.000000탎
GPU Run: 268714.000000탎
========
DIRECT RESIZE (X2)
CPU Run: 857281.000000탎
GPU Run: 718411.000000탎
CPU Run: 858283.000000탎
GPU Run: 733952.000000탎
CPU Run: 858785.000000탎
GPU Run: 719915.000000탎
CPU Run: 858785.000000탎
GPU Run: 733953.000000탎
CPU Run: 858284.000000탎
GPU Run: 719915.000000탎
CPU Run: 859286.000000탎
GPU Run: 733452.000000탎
CPU Run: 859787.000000탎
GPU Run: 719915.000000탎
CPU Run: 858785.000000탎
GPU Run: 733452.000000탎
CPU Run: 859788.000000탎
GPU Run: 721419.000000탎
CPU Run: 859286.000000탎
GPU Run: 733452.000000탎
========
DIRECT RESIZE (X0.5)
CPU Run: 54144.000000탎
GPU Run: 62667.000000탎
CPU Run: 53643.000000탎
GPU Run: 62666.000000탎
CPU Run: 53642.000000탎
GPU Run: 62667.000000탎
CPU Run: 53642.000000탎
GPU Run: 62666.000000탎
CPU Run: 53642.000000탎
GPU Run: 62165.000000탎
CPU Run: 54144.000000탎
GPU Run: 62165.000000탎
CPU Run: 54645.000000탎
GPU Run: 62165.000000탎
CPU Run: 54144.000000탎
GPU Run: 62666.000000탎
CPU Run: 53642.000000탎
GPU Run: 62666.000000탎
CPU Run: 54144.000000탎
GPU Run: 62165.000000탎
========
LINEAR RESIZE (X2)
CPU Run: 7183615.000000탎
GPU Run: 1141036.000000탎
CPU Run: 7186627.000000탎
GPU Run: 1144545.000000탎
CPU Run: 7186122.000000탎
GPU Run: 1148556.000000탎
CPU Run: 7193642.000000탎
GPU Run: 1149057.000000탎
CPU Run: 7187626.000000탎
GPU Run: 1151564.000000탎
CPU Run: 7186623.000000탎
GPU Run: 1153569.000000탎
CPU Run: 7187125.000000탎
GPU Run: 1147052.000000탎
CPU Run: 7186122.000000탎
GPU Run: 1131510.000000탎
CPU Run: 7194143.000000탎
GPU Run: 1134518.000000탎
CPU Run: 7186122.000000탎
GPU Run: 1139031.000000탎
========
LINEAR RESIZE (X0.5)
CPU Run: 93248.000000탎
GPU Run: 64170.000000탎
CPU Run: 92746.000000탎
GPU Run: 63669.000000탎
CPU Run: 92746.000000탎
GPU Run: 64170.000000탎
CPU Run: 92747.000000탎
GPU Run: 63669.000000탎
CPU Run: 92747.000000탎
GPU Run: 64170.000000탎
CPU Run: 92747.000000탎
GPU Run: 63669.000000탎
CPU Run: 92747.000000탎
GPU Run: 64170.000000탎
CPU Run: 92746.000000탎
GPU Run: 64170.000000탎
CPU Run: 92746.000000탎
GPU Run: 64170.000000탎
CPU Run: 92746.000000탎
GPU Run: 64170.000000탎
========
GAUSSIAN FILTER (SIZE 3, SIGMA 1.0)
CPU Run: 50194566.000000탎
GPU Run: 1114966.000000탎
CPU Run: 50201083.000000탎
GPU Run: 1107447.000000탎
CPU Run: 50199579.000000탎
GPU Run: 1100428.000000탎
CPU Run: 50215122.000000탎
GPU Run: 1092908.000000탎
CPU Run: 50227155.000000탎
GPU Run: 1109953.000000탎
========
EDGE DETECTION
CPU Run: 64482590.000000탎
GPU Run: 2487117.000000탎
========
K MEANS 8
CPU Run: 2287198684.000000탎
GPU Run: 84716432.000000탎
========
GAUSSIAN PYRAMID 8 0.5x
CPU Run: 67496606.000000탎
GPU Run: 1865965.000000탎
========
